,id,title,subpanel,institution,grant_type,budget,duration,project_status,coinvestigators
1,2019/32/C/HS2/00452,Kulturowe implikacje migracji Serbów we wczesnej dobie nowożytnej,HS2   - Kultura i twórczość kulturowa,"Uniwersytet Łódzki, Wydział Filologiczny, Wydział Filologiczny",Konkurs: SONATINA 3  - ogłoszony 2018-12-14,Przyznana kwota: 630 208 PLN,Czas trwania projektu: 36 miesięcy,Status projektu: Projekt w realizacji,Liczba wykonawców projektu: 2
2,2019/32/C/HS2/00536,Filosowietyzm we włoskiej postfaszystowskiej kulturze filmowej,HS2   - Kultura i twórczość kulturowa,"Wydział Filologiczny, Wydział Filologiczny",Konkurs: SONATINA 3  - ogłoszony 2018-12-14,Przyznana kwota: 639 818 PLN,Czas trwania projektu: 36 miesięcy,Status projektu: Projekt w realizacji,Liczba wykonawców projektu: 2
3,2019/32/C/HS1/00307,Nowy Realizm: zapomniana tradycja filozofii amerykańskiej,HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Filozofii, Wydział Filozofii",Konkurs: SONATINA 3  - ogłoszony 2018-12-14,Przyznana kwota: 578 622 PLN,Czas trwania projektu: 36 miesięcy,Status projektu: Projekt w realizacji,Liczba wykonawców projektu: 1
4,2019/32/C/HS6/00382,Patrząc na świat przez różowe okulary. Wpływ aerobowego wysiłku fizycznego na tendencyjność w przetwarzaniu bodźców emocjonalnych: zaawansowana analiza mechanizmów mózgowych u osób zdrowych i cierpiących na depresję.,HS6   - Człowiek i życie społeczne,"Uniwersytet Jagielloński, Wydział Filozoficzny, Wydział Filozoficzny",Konkurs: SONATINA 3  - ogłoszony 2018-12-14,Przyznana kwota: 727 816 PLN,Czas trwania projektu: 36 miesięcy,Status projektu: Projekt w realizacji,Liczba wykonawców projektu: 3
5,2019/32/C/ST9/00577,Interferometria optyczna gwiazd symbiotycznych,ST9   - Astronomia i badania kosmiczne,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Fizyki, Wydział Fizyki",Konkurs: SONATINA 3  - ogłoszony 2018-12-14,Przyznana kwota: 637 868 PLN,Czas trwania projektu: 36 miesięcy,Status projektu: Projekt w realizacji,Liczba wykonawców projektu: 2
6,2019/32/C/HS1/00290,Godność człowieka w pismach Ojców i Doktorów Kościoła,HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości,"Wydział Filozoficzny, Wydział Filozoficzny",Konkurs: SONATINA 3  - ogłoszony 2018-12-14,Przyznana kwota: 575 498 PLN,Czas trwania projektu: 36 miesięcy,Status projektu: Projekt w realizacji,Liczba wykonawców projektu: 1
7,2019/32/C/ST4/00178,Synteza nowych funkcjonalizowanych poliolefin,ST4   - Chemia,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Chemii, Wydział Chemii",Konkurs: SONATINA 3  - ogłoszony 2018-12-14,Przyznana kwota: 906 035 PLN,Czas trwania projektu: 36 miesięcy,Status projektu: Projekt w realizacji,Liczba wykonawców projektu: 3
8,2019/32/C/ST4/00235,Katalityczne hydroborowanie związków pi-sprzężonych w układzie powtórzeniowym i przepływowym,ST4   - Chemia,"Wydział Chemii, Wydział Chemii",Konkurs: SONATINA 3  - ogłoszony 2018-12-14,Przyznana kwota: 853 776 PLN,Czas trwania projektu: 36 miesięcy,Status projektu: Projekt w realizacji,Liczba wykonawców projektu: 3
9,2019/32/C/ST4/00565,Samo-asocjacja multi-responsywnych-dynamicznych nanosensorów molekularnych i supramolekularnych,ST4   - Chemia,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Chemii, Wydział Chemii",Konkurs: SONATINA 3  - ogłoszony 2018-12-14,Przyznana kwota: 802 984 PLN,Czas trwania projektu: 36 miesięcy,Status projektu: Projekt w realizacji,Liczba wykonawców projektu: 3
10,2019/32/C/HS6/00340,"Wpływ problematycznego korzystania z gier komputerowych, grania w komputerowe gry akcji i kontekstu związanego z grą na kontrole poznawczą.",HS6   - Człowiek i życie społeczne,"Wydział Nauk Społecznych, Wydział Nauk Społecznych",Konkurs: SONATINA 3  - ogłoszony 2018-12-14,Przyznana kwota: 873 930 PLN,Czas trwania projektu: 36 miesięcy,Status projektu: Projekt w realizacji,Liczba wykonawców projektu: 3
